Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
734.0,-3.98,-3.17,7.92,4.19
736.0,-3.84,-3.17,7.97,4.18
739.0,-3.71,-3.24,7.92,4.19
741.0,-3.54,-3.31,7.93,4.17
744.0,-3.45,-3.35,7.99,4.19
746.0,-3.37,-3.32,8.02,4.19
749.0,-3.42,-3.23,8.09,4.18
759.0,-3.52,-2.9,8.22,4.19
761.0,-3.64,-2.82,8.11,4.19
764.0,-3.69,-2.64,8.11,4.19
766.0,-3.78,-2.65,7.98,4.19
769.0,-3.79,-2.74,7.97,4.2
771.0,-3.93,-2.87,7.91,4.19
774.0,-3.97,-3.08,7.81,4.17
776.0,-4.13,-3.22,7.85,4.19
779.0,-4.13,-3.31,7.91,4.19
781.0,-4.16,-3.36,7.9,4.19
784.0,-4.1,-3.16,7.93,4.12
786.0,-4.06,-3.14,7.99,4.19
789.0,-4.18,-3.03,7.97,4.19
791.0,-4.13,-3.02,8.07,4.17
794.0,-4.01,-3.04,8.15,4.19
796.0,-3.96,-2.99,8.16,4.2
799.0,-3.92,-3.04,8.25,4.18
801.0,-3.83,-3.01,8.32,4.18
804.0,-3.74,-3.08,8.5,4.19
806.0,-3.74,-3.19,8.57,4.17
808.0,-3.7,-3.25,8.5,4.19
811.0,-3.7,-3.37,8.66,4.18
813.0,-3.83,-3.46,8.79,4.17
816.0,-3.77,-3.49,8.78,4.18
818.0,-3.77,-3.65,8.69,4.19
821.0,-3.88,-3.63,8.68,4.19
823.0,-3.88,-3.62,8.62,4.19
826.0,-3.91,-3.64,8.64,4.18
828.0,-3.89,-3.6,8.61,4.2
831.0,-3.87,-3.59,8.59,4.19
833.0,-3.88,-3.55,8.58,4.19
836.0,-3.97,-3.57,8.54,4.17
838.0,-3.93,-3.56,8.59,4.2
841.0,-3.97,-3.58,8.55,4.19
843.0,-3.94,-3.58,8.61,4.19
846.0,-4.0,-3.54,8.63,4.17
848.0,-4.08,-3.51,8.58,4.17
851.0,-3.99,-3.46,8.62,4.17
861.0,-4.08,-3.51,8.95,4.17
863.0,-4.15,-3.59,8.98,4.17
866.0,-4.18,-3.54,8.92,4.19
868.0,-4.23,-3.45,8.88,4.19
871.0,-4.26,-3.28,8.95,4.19
873.0,-4.31,-3.23,8.83,4.2
876.0,-4.48,-3.27,8.8,4.19
878.0,-4.49,-3.37,8.82,4.19
881.0,-4.53,-3.31,8.75,4.19
883.0,-4.51,-3.35,8.89,4.18
886.0,-4.44,-3.37,8.85,4.17
888.0,-4.38,-3.47,8.84,4.17
891.0,-4.37,-3.29,8.66,4.19
893.0,-4.56,-3.17,8.79,4.2
896.0,-4.48,-3.16,8.86,4.19
898.0,-4.56,-3.13,8.78,4.19
901.0,-4.55,-3.09,8.8,4.17
903.0,-4.57,-3.16,8.66,4.19
906.0,-4.65,-3.14,8.64,4.19
908.0,-4.69,-3.08,8.55,4.17
911.0,-4.74,-3.12,8.47,4.19
913.0,-4.79,-3.06,8.35,4.17
916.0,-4.9,-2.99,8.41,4.17
918.0,-4.96,-2.9,8.43,4.19
921.0,-5.13,-2.95,8.36,4.19
923.0,-5.22,-2.92,8.39,4.2
926.0,-5.19,-2.92,8.42,4.19
928.0,-5.19,-2.94,8.44,4.19
931.0,-5.14,-2.91,8.42,4.17
933.0,-5.12,-2.91,8.42,4.19
936.0,-4.95,-2.91,8.52,4.18
938.0,-4.73,-2.99,8.63,4.19
941.0,-4.45,-2.99,8.59,4.19
943.0,-4.1,-2.92,8.64,4.19
946.0,-3.72,-2.85,8.54,4.19
948.0,-3.49,-2.86,8.51,4.19
951.0,-3.34,-2.83,8.67,4.19
953.0,-3.2,-2.74,8.7,4.19
963.0,-3.37,-2.79,8.99,4.2
966.0,-3.38,-2.92,9.01,4.19
968.0,-3.61,-3.08,8.89,4.19
971.0,-3.8,-3.21,9.0,4.19
973.0,-3.98,-3.58,8.91,4.2
976.0,-4.29,-3.36,8.73,4.18
978.0,-4.63,-3.14,8.61,4.19
981.0,-4.81,-2.87,8.83,4.17
983.0,-5.05,-2.74,8.8,4.2
986.0,-5.14,-2.81,8.62,4.19
988.0,-5.2,-2.74,8.5,4.15
991.0,-5.39,-2.8,8.44,4.19
993.0,-5.47,-2.75,8.51,4.17
996.0,-5.44,-2.68,8.55,4.19
998.0,-5.59,-2.54,8.39,4.17
1001.0,-5.58,-2.52,8.52,4.19
1003.0,-5.42,-2.4,8.29,4.19
1006.0,-5.43,-2.47,8.42,4.17
1008.0,-5.56,-2.77,8.34,4.17
1010.0,-5.65,-2.95,8.3,4.19
1013.0,-5.66,-3.02,8.5,4.19
1016.0,-5.97,-3.02,8.28,4.17
1018.0,-6.15,-4.09,7.74,4.19
1020.0,-6.0,-3.9,8.84,4.18
1023.0,-5.76,-3.51,8.72,4.19
1025.0,-5.43,-3.36,9.18,4.2
1028.0,-5.31,-3.11,9.08,4.2
1030.0,-5.18,-3.01,9.08,4.19
1033.0,-5.25,-3.05,8.72,4.19
1035.0,-5.41,-2.99,8.9,4.19
1038.0,-5.54,-3.09,9.06,4.2
1048.0,-5.13,-3.05,8.69,4.19
1050.0,-5.04,-3.14,8.69,4.19
1053.0,-5.08,-3.41,8.63,4.19
1055.0,-5.13,-3.53,8.56,4.19
1058.0,-5.26,-3.56,8.5,4.19
1060.0,-7.28,-16.07,11.37,4.17
1063.0,-6.4,-2.59,3.12,4.17
1065.0,-6.17,-5.69,11.95,4.19
1068.0,-6.83,-5.79,5.59,4.19
1070.0,-4.32,-5.24,7.57,4.19
1073.0,-3.61,-0.96,9.58,4.19
1078.0,-4.0,-2.06,8.71,4.19
1080.0,-4.64,-2.59,8.05,4.19
1083.0,-4.65,-3.68,8.16,4.17
1085.0,-4.7,-2.66,10.09,4.19
