Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
760.0,-2.46,8.47,2.05,4.22
762.0,-2.56,8.49,2.06,4.2
765.0,-2.59,8.41,1.99,4.2
767.0,-2.6,8.36,2.05,4.19
770.0,-2.6,8.37,2.01,4.19
772.0,-2.56,8.42,2.06,4.2
775.0,-2.65,8.39,1.97,4.19
777.0,-2.61,8.36,2.05,4.2
780.0,-2.69,8.33,1.91,4.22
782.0,-2.68,8.37,1.99,4.22
785.0,-2.82,8.41,1.96,4.21
787.0,-2.8,8.42,1.99,4.21
790.0,-2.88,8.45,1.91,4.22
792.0,-2.92,8.46,1.93,4.21
802.0,-3.01,8.54,1.78,4.19
805.0,-3.08,8.6,1.81,4.2
807.0,-3.05,8.59,1.81,4.2
810.0,-3.0,8.59,1.83,4.22
812.0,-3.02,8.53,1.89,4.2
815.0,-3.01,8.63,1.85,4.21
817.0,-2.91,8.61,1.9,4.19
819.0,-2.91,8.62,1.83,4.22
822.0,-2.83,8.66,1.92,4.22
824.0,-2.83,8.65,1.98,4.22
827.0,-2.79,8.78,2.01,4.2
829.0,-2.84,8.79,2.05,4.2
832.0,-2.81,8.84,2.05,4.2
834.0,-2.81,8.81,2.03,4.22
837.0,-2.84,8.95,2.04,4.2
839.0,-2.72,8.83,2.05,4.22
842.0,-2.87,8.84,2.21,4.2
844.0,-2.88,8.93,2.08,4.22
847.0,-2.87,8.88,2.1,4.22
849.0,-2.91,8.84,2.11,4.21
852.0,-2.91,8.84,2.14,4.22
854.0,-2.9,8.86,2.1,4.22
857.0,-2.93,8.81,2.11,4.22
859.0,-3.04,8.85,2.17,4.2
862.0,-2.91,8.85,2.13,4.22
864.0,-2.93,8.84,2.14,4.2
867.0,-3.0,8.86,2.12,4.22
869.0,-2.98,8.85,2.16,4.21
872.0,-2.99,8.83,2.09,4.21
874.0,-2.87,8.73,2.15,4.2
877.0,-2.94,8.71,2.03,4.21
879.0,-2.84,8.66,2.15,4.2
882.0,-2.79,8.7,2.19,4.22
884.0,-2.83,8.58,2.17,4.22
887.0,-2.79,8.65,2.11,4.22
889.0,-2.75,8.5,2.16,4.22
892.0,-2.71,8.48,2.01,4.21
894.0,-2.6,8.42,2.17,4.21
897.0,-2.63,8.42,2.17,4.21
899.0,-2.65,8.4,2.09,4.22
902.0,-2.72,8.4,2.05,4.22
904.0,-2.63,8.34,2.03,4.2
907.0,-2.61,8.34,2.1,4.22
909.0,-2.6,8.39,2.09,4.22
912.0,-2.65,8.31,2.1,4.22
914.0,-2.59,8.31,2.06,4.22
917.0,-2.53,8.33,2.14,4.22
919.0,-2.56,8.34,2.19,4.21
922.0,-2.5,8.32,2.17,4.22
924.0,-2.55,8.37,2.12,4.2
927.0,-2.57,8.45,2.14,4.21
929.0,-2.59,8.4,2.23,4.22
932.0,-2.71,8.5,2.28,4.2
934.0,-2.72,8.59,2.37,4.22
937.0,-2.74,8.62,2.35,4.22
939.0,-2.74,8.66,2.49,4.22
942.0,-2.78,8.73,2.5,4.22
944.0,-2.71,8.77,2.46,4.2
947.0,-2.72,8.86,2.21,4.2
949.0,-2.65,8.82,2.77,4.22
952.0,-2.72,8.79,2.54,4.2
954.0,-2.67,8.8,2.6,4.2
957.0,-2.69,8.78,2.72,4.2
959.0,-2.77,8.8,2.81,4.2
962.0,-2.68,8.83,2.97,4.22
964.0,-2.79,8.89,2.98,4.19
967.0,-2.77,8.83,3.02,4.2
969.0,-2.73,8.85,3.06,4.21
972.0,-2.86,8.82,3.12,4.22
982.0,-2.97,8.8,2.99,4.22
984.0,-2.94,8.78,3.03,4.2
987.0,-2.97,8.81,2.98,4.2
989.0,-2.89,8.75,2.91,4.22
992.0,-2.81,8.74,3.0,4.22
994.0,-2.82,8.66,2.94,4.24
997.0,-2.83,8.68,2.9,4.22
999.0,-2.74,8.59,2.95,4.22
1002.0,-2.75,8.55,2.98,4.2
1004.0,-2.68,8.45,2.95,4.21
1007.0,-2.63,8.47,2.9,4.22
1009.0,-2.7,8.4,2.91,4.22
1012.0,-2.66,8.38,2.97,4.2
1014.0,-2.66,8.3,2.91,4.21
1017.0,-2.63,8.23,2.97,4.2
1019.0,-2.6,8.2,2.98,4.22
1022.0,-2.59,8.2,3.05,4.2
1024.0,-2.54,8.12,2.95,4.22
1027.0,-2.47,7.99,3.02,4.2
1029.0,-2.51,8.05,3.0,4.2
1032.0,-2.47,7.97,3.04,4.21
1034.0,-2.53,7.88,3.08,4.2
1037.0,-2.56,7.83,3.07,4.21
1039.0,-2.68,7.82,3.1,4.21
1042.0,-2.68,7.8,3.05,4.22
1044.0,-2.77,7.76,3.07,4.2
1047.0,-2.82,7.7,3.07,4.2
1049.0,-2.95,7.7,3.06,4.22
1052.0,-2.96,7.7,3.06,4.22
1054.0,-2.93,7.71,3.1,4.21
1057.0,-2.96,7.64,3.21,4.22
1059.0,-2.9,7.65,3.17,4.22
1062.0,-2.98,7.62,3.23,4.22
1064.0,-2.96,7.59,3.22,4.2
1067.0,-2.9,7.55,3.28,4.22
1069.0,-2.84,7.51,3.44,4.2
1072.0,-2.77,7.48,3.46,4.22
1074.0,-2.75,7.41,3.54,4.2
1077.0,-2.78,7.39,3.71,4.22
1079.0,-2.71,7.34,3.89,4.22
1082.0,-2.67,7.32,4.1,4.2
1084.0,-2.77,7.41,4.25,4.21
1094.0,-2.85,7.56,4.73,4.21
1096.0,-2.83,7.6,4.72,4.22
1099.0,-2.85,7.61,4.69,4.2
1101.0,-2.83,7.57,4.78,4.21
1104.0,-2.9,7.64,4.77,4.21
1106.0,-2.91,7.64,4.63,4.2
1109.0,-2.92,7.69,4.6,4.19
1111.0,-2.97,7.77,4.6,4.2
1114.0,-2.91,7.82,4.49,4.22
1116.0,-2.91,7.77,4.37,4.21
1119.0,-2.9,7.86,4.33,4.22
1121.0,-2.9,7.88,4.23,4.22
1124.0,-2.84,7.86,4.05,4.2
1126.0,-2.85,7.82,4.05,4.21
1129.0,-2.81,7.79,4.04,4.2
1134.0,-2.64,7.68,4.07,4.21
1136.0,-2.6,7.6,4.2,4.2
1139.0,-2.63,7.53,4.31,4.23
1141.0,-2.62,7.44,4.3,4.22
1144.0,-2.62,7.42,4.49,4.21
1146.0,-2.67,7.47,4.56,4.2
1149.0,-2.69,7.48,4.61,4.2
