Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
576.0,-1.6,9.66,2.47,4.19
579.0,-1.56,9.56,2.51,4.17
581.0,-1.58,9.51,2.48,4.17
591.0,-1.6,9.57,2.45,4.19
594.0,-1.69,9.57,2.43,4.2
596.0,-1.64,9.61,2.5,4.17
599.0,-1.55,9.58,2.51,4.17
601.0,-1.54,9.61,2.47,4.17
604.0,-1.48,9.64,2.41,4.17
606.0,-1.53,9.71,2.46,4.17
609.0,-1.5,9.7,2.5,4.19
611.0,-1.46,9.74,2.42,4.19
614.0,-1.54,9.78,2.48,4.16
616.0,-1.55,9.75,2.45,4.17
619.0,-1.5,9.77,2.47,4.17
621.0,-1.48,9.74,2.46,4.17
624.0,-1.54,9.7,2.43,4.17
626.0,-1.61,9.77,2.48,4.19
629.0,-1.58,9.73,2.53,4.17
631.0,-1.56,9.7,2.54,4.15
634.0,-1.61,9.74,2.49,4.19
636.0,-1.51,9.78,2.5,4.17
639.0,-1.62,9.75,2.51,4.18
641.0,-1.56,9.76,2.5,4.17
644.0,-1.53,9.75,2.45,4.17
646.0,-1.6,9.69,2.41,4.17
649.0,-1.55,9.74,2.46,4.17
651.0,-1.58,9.75,2.35,4.17
654.0,-1.54,9.73,2.4,4.17
656.0,-1.57,9.67,2.4,4.17
658.0,-1.56,9.73,2.42,4.14
661.0,-1.54,9.73,2.28,4.19
664.0,-1.57,9.67,2.39,4.17
666.0,-1.59,9.61,2.34,4.17
668.0,-1.65,9.66,2.48,4.17
671.0,-1.66,9.65,2.42,4.17
673.0,-1.77,9.67,2.42,4.17
676.0,-1.69,9.63,2.38,4.17
678.0,-1.77,9.62,2.38,4.19
681.0,-1.79,9.58,2.34,4.19
683.0,-1.77,9.59,2.33,4.17
686.0,-1.8,9.56,2.42,4.17
688.0,-1.83,9.53,2.4,4.19
691.0,-1.79,9.53,2.44,4.17
693.0,-1.82,9.58,2.44,4.17
696.0,-1.82,9.57,2.23,4.17
698.0,-1.82,9.52,2.3,4.19
701.0,-1.78,9.4,2.34,4.17
703.0,-1.83,9.37,2.5,4.17
706.0,-1.83,9.37,2.48,4.19
708.0,-1.81,9.33,2.5,4.17
711.0,-1.81,9.49,2.46,4.17
713.0,-1.88,9.48,2.32,4.19
716.0,-1.85,9.46,2.39,4.19
718.0,-1.89,9.46,2.31,4.17
721.0,-1.92,9.38,2.37,4.19
723.0,-1.78,9.4,2.46,4.18
726.0,-1.92,9.35,2.44,4.17
728.0,-1.79,9.33,2.42,4.19
731.0,-1.73,9.36,2.42,4.18
733.0,-1.74,9.38,2.4,4.17
736.0,-1.75,9.34,2.32,4.17
738.0,-1.83,9.35,2.36,4.17
741.0,-1.77,9.35,2.24,4.17
743.0,-1.79,9.33,2.3,4.19
746.0,-1.78,9.36,2.31,4.19
748.0,-1.81,9.3,2.21,4.17
751.0,-1.74,9.28,2.26,4.17
753.0,-1.77,9.27,2.21,4.17
756.0,-1.76,9.26,2.21,4.19
758.0,-1.83,9.23,2.19,4.17
761.0,-1.73,9.25,2.24,4.14
763.0,-1.73,9.13,2.18,4.17
773.0,-1.72,9.18,2.32,4.17
776.0,-1.73,9.27,2.21,4.19
778.0,-1.69,9.3,2.25,4.17
781.0,-1.73,9.27,2.24,4.17
783.0,-1.78,9.24,2.31,4.17
786.0,-1.76,9.29,2.22,4.19
788.0,-1.72,9.24,2.27,4.19
791.0,-1.71,9.28,2.28,4.17
793.0,-1.73,9.28,2.18,4.19
796.0,-1.78,9.3,2.27,4.19
798.0,-1.82,9.29,2.39,4.19
801.0,-1.75,9.34,2.37,4.19
803.0,-1.78,9.29,2.39,4.17
806.0,-1.89,9.35,2.32,4.17
808.0,-1.79,9.34,2.35,4.17
811.0,-1.8,9.41,2.37,4.17
813.0,-1.78,9.38,2.34,4.19
816.0,-1.85,9.45,2.36,4.19
818.0,-1.79,9.37,2.43,4.19
821.0,-1.78,9.39,2.33,4.19
823.0,-1.71,9.41,2.38,4.19
826.0,-1.72,9.47,2.34,4.17
828.0,-1.69,9.48,2.4,4.17
831.0,-1.66,9.48,2.37,4.19
833.0,-1.74,9.49,2.47,4.17
836.0,-1.69,9.55,2.37,4.17
838.0,-1.6,9.47,2.48,4.16
841.0,-1.66,9.58,2.48,4.17
843.0,-1.59,9.57,2.51,4.18
846.0,-1.56,9.59,2.42,4.19
848.0,-1.56,9.69,2.45,4.17
851.0,-1.6,9.67,2.48,4.17
853.0,-1.55,9.61,2.52,4.17
856.0,-1.49,9.62,2.57,4.19
858.0,-1.4,9.64,2.48,4.17
861.0,-1.4,9.7,2.28,4.17
863.0,-1.45,9.76,2.34,4.15
866.0,-1.42,9.75,2.49,4.17
868.0,-1.3,9.77,2.47,4.19
871.0,-1.36,9.81,2.45,4.17
873.0,-1.32,9.7,2.38,4.17
876.0,-1.33,9.75,2.37,4.17
878.0,-1.34,9.73,2.44,4.17
881.0,-1.34,9.7,2.43,4.17
883.0,-1.37,9.73,2.44,4.17
886.0,-1.32,9.82,2.41,4.19
888.0,-1.31,9.77,2.44,4.17
891.0,-1.32,9.72,2.37,4.19
893.0,-1.36,9.79,2.33,4.17
896.0,-1.26,9.7,2.31,4.17
898.0,-1.27,9.67,2.43,4.19
901.0,-1.3,9.65,2.3,4.19
903.0,-1.25,9.7,2.23,4.2
905.0,-1.21,9.59,2.24,4.17
908.0,-1.26,9.65,2.31,4.19
910.0,-1.26,9.61,2.23,4.17
913.0,-1.3,9.62,2.27,4.19
915.0,-1.25,9.6,2.22,4.17
918.0,-1.26,9.53,2.25,4.19
920.0,-1.3,9.52,2.29,4.17
923.0,-1.28,9.53,2.31,4.18
925.0,-1.29,9.55,2.31,4.19
928.0,-1.37,9.52,2.31,4.19
930.0,-1.35,9.5,2.32,4.17
933.0,-1.29,9.53,2.27,4.17
935.0,-1.37,9.47,2.4,4.19
938.0,-1.36,9.38,2.35,4.17
940.0,-1.33,9.44,2.39,4.16
950.0,-1.44,9.42,2.33,4.17
953.0,-1.48,9.47,2.33,4.19
955.0,-1.41,9.52,2.35,4.17
958.0,-1.41,9.47,2.32,4.17
960.0,-1.43,9.51,2.3,4.17
963.0,-1.39,9.49,2.31,4.17
965.0,-1.39,9.48,2.31,4.16
968.0,-1.38,9.48,2.35,4.17
970.0,-1.37,9.53,2.29,4.17
973.0,-1.4,9.49,2.32,4.17
975.0,-1.41,9.5,2.34,4.17
978.0,-1.4,9.52,2.31,4.17
980.0,-1.42,9.49,2.27,4.17
983.0,-1.44,9.42,2.34,4.17
985.0,-1.42,9.45,2.38,4.17
988.0,-1.46,9.49,2.29,4.19
990.0,-1.48,9.46,2.34,4.17
993.0,-1.51,9.41,2.36,4.19
995.0,-1.49,9.47,2.34,4.19
998.0,-1.51,9.4,2.24,4.17
1000.0,-1.5,9.4,2.28,4.19
1003.0,-1.52,9.38,2.26,4.17
1005.0,-1.47,9.44,2.35,4.19
1008.0,-1.45,9.35,2.31,4.17
1010.0,-1.48,9.39,2.38,4.17
1013.0,-1.5,9.39,2.36,4.17
1015.0,-1.56,9.41,2.3,4.17
1018.0,-1.46,9.35,2.42,4.17
1020.0,-1.5,9.38,2.39,4.17
1023.0,-1.52,9.35,2.33,4.17
1025.0,-1.52,9.33,2.45,4.19
1028.0,-1.56,9.29,2.44,4.19
1030.0,-1.55,9.3,2.4,4.17
1033.0,-1.54,9.23,2.37,4.17
1035.0,-1.57,9.24,2.4,4.17
1038.0,-1.51,9.21,2.4,4.17
1040.0,-1.56,9.21,2.4,4.17
1043.0,-1.57,9.26,2.52,4.15
1045.0,-1.57,9.22,2.48,4.17
1048.0,-1.54,9.25,2.35,4.19
